12:29:32.055PM INFO  com.library.aspect.LoggingAspect - Aspect is initialized
12:29:36.696PM INFO  c.l.controller.AuthorController - Counter : 102
12:29:36.697PM INFO  c.l.controller.AuthorController - Counter : 103
12:29:36.698PM INFO  c.l.controller.AuthorController - Counter : 104
12:29:36.699PM INFO  c.l.controller.AuthorController - Counter : 105
12:29:36.699PM INFO  c.l.controller.AuthorController - Counter : 106
12:29:36.700PM INFO  c.l.controller.AuthorController - Counter : 107
12:29:36.700PM INFO  c.l.controller.AuthorController - Counter : 108
12:29:36.701PM INFO  c.l.controller.AuthorController - Counter : 109
12:29:36.701PM INFO  c.l.controller.AuthorController - Counter : 110
12:29:36.702PM INFO  c.l.controller.AuthorController - Counter : 111
12:29:36.702PM INFO  c.l.controller.AuthorController - Counter : 112
12:29:36.703PM INFO  c.l.controller.AuthorController - Counter : 113
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.704PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.704PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.704PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.704PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.703PM INFO  c.l.controller.AuthorController - Counter : 114
12:29:36.705PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  c.l.controller.AuthorController - Counter : 115
12:29:36.703PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  c.l.controller.AuthorController - Counter : 116
12:29:36.705PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.706PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.705PM INFO  c.l.controller.AuthorController - Counter : 117
12:29:36.706PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.706PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.706PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.706PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.706PM INFO  c.l.controller.AuthorController - Counter : 118
12:29:36.706PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.707PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.707PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.706PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.707PM INFO  c.l.controller.AuthorController - Counter : 119
12:29:36.707PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.707PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.707PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.707PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.707PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.707PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.707PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.708PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.709PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.709PM INFO  c.l.controller.AuthorController - Counter : 120
12:29:36.709PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.709PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.709PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.710PM INFO  c.l.controller.AuthorController - Counter : 121
12:29:36.710PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.710PM INFO  c.l.controller.AuthorController - Counter : 122
12:29:36.710PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.710PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.710PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.710PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  c.l.controller.AuthorController - Counter : 123
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.711PM INFO  c.l.controller.AuthorController - Counter : 124
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  c.l.controller.AuthorController - Counter : 125
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.712PM INFO  c.l.controller.AuthorController - Counter : 126
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  c.l.controller.AuthorController - Counter : 127
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.714PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.714PM INFO  c.l.controller.AuthorController - Counter : 128
12:29:36.714PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.715PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.716PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.717PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.713PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.714PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.717PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.718PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.714PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.718PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.717PM INFO  c.l.controller.AuthorController - Counter : 129
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  c.l.controller.AuthorController - Counter : 130
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  c.l.controller.AuthorController - Counter : 131
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.719PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.720PM INFO  c.l.controller.AuthorController - Counter : 132
12:29:36.720PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.720PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.720PM INFO  c.l.controller.AuthorController - Counter : 133
12:29:36.720PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.720PM INFO  c.l.controller.AuthorController - Counter : 134
12:29:36.721PM INFO  c.l.controller.AuthorController - Counter : 135
12:29:36.721PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.721PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.721PM INFO  c.l.controller.AuthorController - Counter : 136
12:29:36.722PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.722PM INFO  c.l.controller.AuthorController - Counter : 137
12:29:36.722PM INFO  c.l.controller.AuthorController - Counter : 138
12:29:36.722PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.722PM INFO  c.l.controller.AuthorController - Counter : 139
12:29:36.722PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.722PM INFO  c.l.controller.AuthorController - Counter : 140
12:29:36.722PM INFO  c.l.controller.AuthorController - Counter : 141
12:29:36.722PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.722PM INFO  c.l.controller.AuthorController - Counter : 142
12:29:36.723PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.723PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.723PM INFO  c.l.controller.AuthorController - Counter : 143
12:29:36.723PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.723PM INFO  c.l.controller.AuthorController - Counter : 144
12:29:36.723PM INFO  c.l.controller.AuthorController - Counter : 145
12:29:36.723PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.723PM INFO  c.l.controller.AuthorController - Counter : 146
12:29:36.723PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.723PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.723PM INFO  c.l.controller.AuthorController - Counter : 147
12:29:36.724PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.724PM INFO  c.l.controller.AuthorController - Counter : 148
12:29:36.724PM INFO  c.l.controller.AuthorController - Counter : 149
12:29:36.724PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.724PM INFO  c.l.controller.AuthorController - Counter : 150
12:29:36.724PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.724PM INFO  c.l.controller.AuthorController - Counter : 151
12:29:36.724PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.724PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.724PM INFO  c.l.controller.AuthorController - Counter : 152
12:29:36.725PM INFO  c.l.controller.AuthorController - Counter : 153
12:29:36.725PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.725PM INFO  c.l.controller.AuthorController - Counter : 154
12:29:36.725PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.725PM INFO  c.l.controller.AuthorController - Counter : 155
12:29:36.725PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.725PM INFO  c.l.controller.AuthorController - Counter : 156
12:29:36.725PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.725PM INFO  c.l.controller.AuthorController - Counter : 157
12:29:36.725PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.726PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.726PM INFO  c.l.controller.AuthorController - Counter : 158
12:29:36.726PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.726PM INFO  c.l.controller.AuthorController - Counter : 159
12:29:36.726PM INFO  c.l.controller.AuthorController - Counter : 160
12:29:36.726PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.726PM INFO  c.l.controller.AuthorController - Counter : 161
12:29:36.726PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.727PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.727PM INFO  c.l.controller.AuthorController - Counter : 162
12:29:36.727PM INFO  c.l.controller.AuthorController - Counter : 163
12:29:36.727PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.727PM INFO  c.l.controller.AuthorController - Counter : 164
12:29:36.727PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.727PM INFO  c.l.controller.AuthorController - Counter : 165
12:29:36.727PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.727PM INFO  c.l.controller.AuthorController - Counter : 166
12:29:36.727PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.727PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.727PM INFO  c.l.controller.AuthorController - Counter : 167
12:29:36.728PM INFO  c.l.controller.AuthorController - Counter : 168
12:29:36.728PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.728PM INFO  c.l.controller.AuthorController - Counter : 169
12:29:36.728PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.728PM INFO  c.l.controller.AuthorController - Counter : 170
12:29:36.728PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.728PM INFO  c.l.controller.AuthorController - Counter : 171
12:29:36.728PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.728PM INFO  c.l.controller.AuthorController - Counter : 172
12:29:36.728PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.728PM INFO  c.l.controller.AuthorController - Counter : 173
12:29:36.729PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.729PM INFO  c.l.controller.AuthorController - Counter : 174
12:29:36.729PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.729PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.729PM INFO  c.l.controller.AuthorController - Counter : 175
12:29:36.729PM INFO  c.l.controller.AuthorController - Counter : 176
12:29:36.729PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.729PM INFO  c.l.controller.AuthorController - Counter : 177
12:29:36.729PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.729PM INFO  c.l.controller.AuthorController - Counter : 178
12:29:36.729PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.730PM INFO  c.l.controller.AuthorController - Counter : 179
12:29:36.730PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
12:29:36.730PM INFO  com.library.aspect.LoggingAspect - Method: getAllAuthors(), args: []
